3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
3.890E+02 1.388E-08 1.388E-08 2.824E-21 0.00E+00
3.846E+02 1.419E-08 1.419E-08 2.957E-21 0.00E+00
3.802E+02 1.451E-08 1.451E-08 3.095E-21 0.00E+00
3.758E+02 1.484E-08 1.484E-08 3.240E-21 0.00E+00
3.715E+02 1.518E-08 1.518E-08 3.392E-21 0.00E+00
3.673E+02 1.552E-08 1.552E-08 3.551E-21 0.00E+00
3.631E+02 1.587E-08 1.587E-08 3.717E-21 0.00E+00
3.589E+02 1.623E-08 1.623E-08 3.891E-21 0.00E+00
3.548E+02 1.659E-08 1.659E-08 4.073E-21 0.00E+00
3.508E+02 1.697E-08 1.697E-08 4.264E-21 0.00E+00
3.467E+02 1.735E-08 1.735E-08 4.463E-21 0.00E+00
3.428E+02 1.774E-08 1.774E-08 4.672E-21 0.00E+00
3.388E+02 1.814E-08 1.814E-08 4.891E-21 0.00E+00
3.350E+02 1.855E-08 1.855E-08 5.119E-21 0.00E+00
3.311E+02 1.896E-08 1.896E-08 5.359E-21 0.00E+00
3.273E+02 1.939E-08 1.939E-08 5.609E-21 0.00E+00
3.236E+02 1.982E-08 1.982E-08 5.871E-21 0.00E+00
3.199E+02 2.027E-08 2.027E-08 6.146E-21 0.00E+00
3.162E+02 2.072E-08 2.072E-08 6.433E-21 0.00E+00
3.126E+02 2.119E-08 2.119E-08 6.734E-21 0.00E+00
3.090E+02 2.166E-08 2.166E-08 7.048E-21 0.00E+00
3.055E+02 2.214E-08 2.214E-08 7.377E-21 0.00E+00
3.020E+02 2.264E-08 2.264E-08 7.722E-21 0.00E+00
2.985E+02 2.314E-08 2.314E-08 8.082E-21 0.00E+00
2.951E+02 2.366E-08 2.366E-08 8.460E-21 0.00E+00
2.917E+02 2.418E-08 2.418E-08 8.854E-21 0.00E+00
2.884E+02 2.472E-08 2.472E-08 9.268E-21 0.00E+00
2.851E+02 2.527E-08 2.527E-08 9.700E-21 0.00E+00
2.818E+02 2.583E-08 2.583E-08 1.015E-20 0.00E+00
2.786E+02 2.641E-08 2.641E-08 1.063E-20 0.00E+00
2.754E+02 2.699E-08 2.699E-08 1.112E-20 0.00E+00
2.723E+02 2.759E-08 2.759E-08 1.164E-20 0.00E+00
2.692E+02 2.820E-08 2.820E-08 1.218E-20 0.00E+00
2.661E+02 2.882E-08 2.882E-08 1.275E-20 0.00E+00
2.630E+02 2.946E-08 2.946E-08 1.334E-20 0.00E+00
